underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2019-05-14,SPXW,2019-05-15,2535.000,P,0.00,0.00,0.00,0.00,0,0,0.00,930,0.05,2838.63,2839.31,0,0.00,854,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2540.000,C,0.00,0.00,0.00,0.00,0,10,297.80,10,299.80,2838.63,2839.31,20,288.40,2,305.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2540.000,P,0.00,0.00,0.00,0.00,0,0,0.00,956,0.05,2838.63,2839.31,0,0.00,884,0.05,2799.12,2865.45,0.00,748,0
^SPX,2019-05-14,SPXW,2019-05-15,2545.000,C,0.00,0.00,0.00,0.00,0,10,292.70,10,294.80,2838.63,2839.31,20,283.40,2,300.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2545.000,P,0.00,0.00,0.00,0.00,0,0,0.00,952,0.05,2838.63,2839.31,0,0.00,842,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2550.000,C,0.00,0.00,0.00,0.00,0,10,287.80,10,289.80,2838.63,2839.31,20,278.40,2,295.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2550.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1334,0.05,2838.63,2839.31,0,0.00,1231,0.05,2799.12,2865.45,0.00,10665,0
^SPX,2019-05-14,SPXW,2019-05-15,2555.000,C,0.00,0.00,0.00,0.00,0,10,282.60,10,284.80,2838.63,2839.31,36,274.10,37,290.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2555.000,P,0.00,0.00,0.00,0.00,0,0,0.00,921,0.05,2838.63,2839.31,0,0.00,826,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2560.000,C,0.00,0.00,0.00,0.00,0,25,277.80,17,279.80,2838.63,2839.31,36,269.10,15,279.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2560.000,P,0.00,0.00,0.00,0.00,0,0,0.00,916,0.05,2838.63,2839.31,0,0.00,829,0.05,2799.12,2865.45,0.00,488,0
^SPX,2019-05-14,SPXW,2019-05-15,2565.000,C,0.00,0.00,0.00,0.00,0,10,272.70,10,274.80,2838.63,2839.31,36,264.10,37,280.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2565.000,P,0.00,0.00,0.00,0.00,0,0,0.00,883,0.05,2838.63,2839.31,0,0.00,768,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2570.000,C,0.00,0.00,0.00,0.00,0,25,267.80,17,269.80,2838.63,2839.31,35,258.50,15,269.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2570.000,P,0.00,0.00,0.00,0.00,0,0,0.00,853,0.05,2838.63,2839.31,0,0.00,771,0.05,2799.12,2865.45,0.00,4651,0
^SPX,2019-05-14,SPXW,2019-05-15,2575.000,C,0.00,0.00,0.00,0.00,0,25,262.80,17,264.80,2838.63,2839.31,35,253.50,15,264.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2575.000,P,0.10,0.10,0.02,0.05,297,0,0.00,872,0.05,2838.63,2839.31,0,0.00,792,0.05,2799.12,2865.45,0.05,7630,0
^SPX,2019-05-14,SPXW,2019-05-15,2580.000,C,0.00,0.00,0.00,0.00,0,25,257.60,17,259.80,2838.63,2839.31,36,249.10,15,259.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2580.000,P,0.00,0.00,0.00,0.00,0,0,0.00,812,0.05,2838.63,2839.31,0,0.00,738,0.05,2799.12,2865.45,0.00,1929,0
^SPX,2019-05-14,SPXW,2019-05-15,2585.000,C,0.00,0.00,0.00,0.00,0,10,252.80,10,255.10,2838.63,2839.31,35,243.30,36,260.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2585.000,P,0.00,0.00,0.00,0.00,0,0,0.00,763,0.05,2838.63,2839.31,0,0.00,692,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2590.000,C,0.00,0.00,0.00,0.00,0,25,247.80,17,249.80,2838.63,2839.31,36,239.10,15,249.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2590.000,P,0.06,0.06,0.05,0.05,23,0,0.00,752,0.05,2838.63,2839.31,0,0.00,705,0.05,2799.12,2865.45,0.05,665,0
^SPX,2019-05-14,SPXW,2019-05-15,2595.000,C,0.00,0.00,0.00,0.00,0,10,242.80,10,244.80,2838.63,2839.31,36,234.10,36,250.90,2799.12,2865.45,0.00,0,0
